teks,akurasi,kualitas,pelayanan,pengemasan,harga,pengiriman,s_akurasi,s_kualitas,s_pelayanan,s_pengemasan,s_harga,s_pengiriman
baru dipakai 2 hari lsg eror datanya tidak terbaca..kualitas jelek banget..toshiba kw ya? Namun akan lebih baik apabila dijelaskan kulitas barangnya,0,1,0,0,0,0,-,negatif,-,-,-,-
"Dicharge penuh dan dipakai di therion 166, baru setengah terpakai, sdh ada keterangan check your batteries. Setelah saya bawa dan di cek di vapestore, ternyata baterai nya KW. Tidak ada sticker gesek di baterai nya. Dan palang kutub positifnya palang 4. Infondr vapestore yang asli palang 3. Seharusnya di info saja barangnya KW. Jadi pembeli bs menimbang2 antara barang murah tp KW atau barang sedikit mahal tp ORI.",0,1,0,0,1,0,-,negatif,-,-,positif,-
"Casing bagus, sesuai gambar & deskripsinya. Pelapak juga ramah dan cepat tanggap. Sukses selalu buat bukalapak & para pelapak.",1,1,1,0,0,0,positif,positif,positif,-,-,-
Awalnya barang datang salah...tapi karena pelayanan dari Bukalapak keren dan pelapak ny keren jadi secepatnya direspon dan segera diganti/dikirim barangnya yg benar. Terima kasih sangat.....,0,0,1,0,0,0,-,-,positif,-,-,-
"Barang bagus sesuai pesanan,d pakenya juga kerennn,,,bgus dah pokonya.tks responnya",1,1,0,0,0,0,positif,positif,-,-,-,-
"fast charger, sesuai iklan..anti tipu-tipu club",1,1,0,0,0,0,positif,positif,-,-,-,-
packing kurang rapih Namun akan lebih baik apabila packing harus lebih rapih,0,0,0,1,0,0,-,-,-,negatif,-,-
"kualitas jelek,,minta wrn hitam dtgnya pink",1,1,0,0,0,0,negatif,negatif,-,-,-,-
"Sesuai pesanan, barang cepat sampai",1,0,0,0,0,1,positif,-,-,-,-,positif
"Packing kurang baik, jdi pada rusak dan patah,",0,1,0,1,0,0,-,negatif,-,negatif,-,-
"Warna tidak sesuai monyeRt, gua pengen hitam atau abu... Malah warna putih",1,0,0,0,0,0,negatif,-,-,-,-,-
barang sudah terima dan sesuai pesanan trimakasih,1,0,0,0,0,0,positif,-,-,-,-,-
Harga murah tapi suara ngga mengecewakan... Trims gan,0,1,0,0,1,0,-,positif,-,-,positif,-
Bagus cepat sampai sesuai dengan pesanan,1,1,0,0,0,1,positif,positif,-,-,-,positif
Respon lambat Barang tdk sesuai pesanan Tanpa konfirmasi klo barang yg dipesan habis ato tdk ada,1,0,1,0,0,0,negatif,-,negatif,-,-,-
Pengiriman sesuai jadwal. Cuma kok beda sama gambarnya ya?,1,0,0,0,0,1,negatif,-,-,-,-,positif
"Barangnya bagus, cahaya redup untuk brosing bisa +3 jam, Oke lah kalu menurut saya..",0,1,0,0,0,0,-,positif,-,-,-,-
Bagus Sesuai Pesanan dan Cepat Sampai,1,1,0,0,0,1,positif,positif,-,-,-,positif
Karna barang tidak sesuai dengan motif / varian yang dipesan padahal sudah konfirmasi stok barang ada ternyata tidak ada,1,0,0,0,0,0,negatif,-,-,-,-,-
"Memang ini yang saya butuhkan. Mungil, praktis,terang. Segenggaman tangan. Terima kasih....",0,1,0,0,0,0,-,positif,-,-,-,-
"Respon lama ,kirim barang lama ,barang gx sesuai deskripsi ,kamera depan blank gx bisa d pake ,parah nyesel gw...",1,1,1,0,0,1,negatif,negatif,negatif,-,-,negatif
barang oke,0,1,0,0,0,0,-,positif,-,-,-,-
batre ny ko boros jg sama kaya batre yg lama..cepet abis ny...,0,1,0,0,0,0,-,negatif,-,-,-,-
Bahan lembut. Nyaman dipakai. Menyerap keringat,0,1,0,0,0,0,-,positif,-,-,-,-
Tidak sesuai dengan angka lainnya... khusus untuk angka 8 berbeda dengan yang lainnya...,1,1,0,0,0,0,negatif,negatif,-,-,-,-
"Tidak sesuai gambar, kualitas jelek",1,1,0,0,0,0,negatif,negatif,-,-,-,-
packing kurang rapi,0,0,0,1,0,0,-,-,-,negatif,-,-
"Barang sesuai pesanan,respon lama dan lama proses kirimnya",1,0,1,0,0,1,positif,-,negatif,-,-,negatif
sesuai yg dipesan. kualitas brg baik,1,1,0,0,0,0,positif,positif,-,-,-,-
"Paketnya sudah sampai...packagingnya ok...kualitas ok,berfungsi semua mode pencahayaanya...tetima kasih Gan...",0,1,0,1,0,0,-,positif,-,positif,-,-
Sesuai walaupun agak terhambat pengiriman nya,1,0,0,0,0,1,positif,-,-,-,-,negatif
Barang yg dikirim tidak sesuai pesanan! Keterangan dan gambar akan diubah ketika barang anda sudah sampai dirumah! Jangan mau percaya! Laknat ni penjual penipu!,1,0,1,0,0,0,negatif,-,negatif,-,-,-
Lumayanlah sesuai harga,0,0,0,0,1,0,-,-,-,-,positif,-
Kualitas barang sesuai harga,0,1,0,0,1,0,-,positif,-,-,positif,-
cepat sampai Namun akan lebih baik apabila ada baterai,1,0,0,0,0,1,negatif,-,-,-,-,positif
Untuk kesekian kali.y belanja di Aladiy shop acc... Tak pernah kecewa... barang oke... Bahan tebal.. dan packing.y pasti aman..aman...sangat....,0,1,0,1,0,0,-,positif,-,positif,-,-
"Suaranya bagus menurut saya, treble sama bass nya cocok pas, ga kecewa, semoga awet :D",0,1,0,0,0,0,-,positif,-,-,-,-
Paket diterima sesuai pemesanan tp bahan kurang bagus terkesan murah dgn harga lumayan mahal. Tks Hengky Cong dan Bukalapak,1,1,0,0,1,0,positif,negatif,-,-,negatif,-
bagus sesuai pesanan,1,1,0,0,0,0,positif,positif,-,-,-,-
produk sesuai yang di pesan... Semoga makin sukses n terpercaya untuk kedepanya....,1,0,0,0,0,0,positif,-,-,-,-,-
"Packing ok. Rapih, sesuai dengan peseanan",1,0,0,1,0,0,positif,-,-,positif,-,-
kualitas barang sesuai harga,0,1,0,0,1,0,-,positif,-,-,positif,-
"Barang mantap, sesuai dengan pesanan dan oke banget dah",1,1,0,0,0,0,positif,positif,-,-,-,-
pengisiannya cepet,0,1,0,0,0,0,-,positif,-,-,-,-
"sesuai dengan pesanan, packing jg bangus",1,0,0,1,0,0,positif,-,-,positif,-,-
"Barang sudah sampai, fast respon, rekomended seller...",0,0,1,0,0,0,-,-,positif,-,-,-
Lembek letoy... Kemahalan cuma brg ginian...,0,1,0,0,1,0,-,negatif,-,-,negatif,-
mantab produknya,0,1,0,0,0,0,-,positif,-,-,-,-
"harga dengan barang sesuai, secara kualitas belum teruji karena baru beli, semoga saja awet..",0,1,0,0,1,0,-,positif,-,-,positif,-
Barang sesuai pesanan.. Recomend,1,0,0,0,0,0,positif,-,-,-,-,-
yakali ga mantap,0,1,0,0,0,0,-,negatif,-,-,-,-
sesuai deskripsi..lanjutken usaha nya,1,0,0,0,0,0,positif,-,-,-,-,-
Cukup puas,0,1,0,0,0,0,-,positif,-,-,-,-
"Barang sesuai dengan pesanan, murah dan kualitas bagus",1,1,0,0,1,0,positif,positif,-,-,positif,-
Murah meriah pas ukurannya bahan rada tipis tp bagus buat dobelan,1,1,0,0,1,0,positif,positif,-,-,positif,-
Cepat sampai. Barang OK. Packing baik. Asli 100%,0,1,0,1,0,1,-,positif,-,positif,-,positif
bagus sesuai dengan pesanan,1,1,0,0,0,0,positif,positif,-,-,-,-
Warna gx sesuai... Sy pesen navy yg dateng merah,1,0,0,0,0,0,negatif,-,-,-,-,-
Tidak merespon chat dengan baik,0,0,1,0,0,0,-,-,negatif,-,-,-
"Baru di pakai sehari, jadi belum tau selanjutnya ada problem / tidak.... semoga ok ok aja .... dn pengirimannya sampai 4 hari...",0,0,0,0,0,1,-,-,-,-,-,negatif
"kualitas sangat baik, sesuai deskripsi",1,1,0,0,0,0,positif,positif,-,-,-,-
"barang sesuai pesanan, kualiatas lumayan, respon cepat, pengiriman lama tidak sesuai estimasi. thx",1,1,1,0,0,1,positif,positif,positif,-,-,negatif
"Kualitas lumayan dg harga segitu, hanya saja raincover kekecilan saat di pasang ke tas nya, mgkin kedepannya dibuat lebih besar lagi / proper ke tas nya, apa lagi proper saat tas dalam ke adaan terisi penuh.. Sejauh ini sih good lah..",1,1,0,0,0,0,negatif,positif,-,-,-,-
baguss..ini yg saya cari..case nya tipiss presisi elegan..sip pokonya,1,1,0,0,0,0,positif,positif,-,-,-,-
"Barang sudah datang, belum dicoba, packing kurang bagus, doos penyok semua, mudah2an barangnya masih ok.",0,0,0,1,0,0,-,-,-,negatif,-,-
barang bagus,0,1,0,0,0,0,-,positif,-,-,-,-
"Barang sampai tapi pecah di daerah kuping dan mulut...warna juga sebenernya request biru, ini dikirim putih, trus packing kurang aman menurut saya walau sudah plastic bubble...tolong ini menjadi perhatian....tetap saya kasih bintang 5 walau kecewa!",1,1,0,1,0,0,negatif,negatif,-,negatif,-,-
Barang sangat bagus. Kainnya jga lumayan,0,1,0,0,0,0,-,positif,-,-,-,-
"Barang bagus keren dan berfungsi walaupun Packing penyok sedikit its oke lab , tp yg saya sayangkan pelapak tidak membalas cheat saya, dan harga pengiriman barang lebih mahal dari sebelum nya Jadi saya kasih 4 bintang",0,1,1,1,1,1,-,positif,negatif,negatif,negatif,negatif
Barang bagus Murah dan tidak murahan. Sepertinya ini keluaran baru soale kelihatan lbh kokoh drpd yg lama. Dg model yg sama. Puas,0,1,0,0,1,0,-,positif,-,-,positif,-
Cuman plastik biasaaaaaa...........,0,1,0,0,0,0,-,negatif,-,-,-,-
Barang bagus dan sesuai pesanan,1,1,0,0,0,0,positif,positif,-,-,-,-
Kualitas barang kurang bagus,0,1,0,0,0,0,-,negatif,-,-,-,-
"Barang lengkap sesuai pesanan,,pertahankan gan, untuk kualitas jangan di tanya lagi",1,1,0,0,0,0,positif,positif,-,-,-,-
"Harga ok, fisik biasa saja. Tetapi Barang diterima dalam keadaan speaker tidak ber fungsi mati sebelah. Kualitas kurang baik. Respon chat dari pelapak sangat kurang (score: 3)",0,1,1,0,1,0,-,negatif,negatif,-,positif,-
"Packing Penyok kabeh bos, ampun!!!",0,0,0,1,0,0,-,-,-,negatif,-,-
Tida ada tulisan 1 + nya gatau ni aslu apa kw belum coba,1,0,0,0,0,0,negatif,-,-,-,-,-
oke barang udah saya terima makasih,0,1,0,0,0,0,-,positif,-,-,-,-
"Suka, barang bagus, pengiriman cepat sampai.????????????????????",0,1,0,0,0,1,-,positif,-,-,-,positif
Packing buruk penyok dikarenakan pihak kurir jadi nya ketindihan barang lain dan akhirnya di daerah tombol space penyok tapi normal/berfungsi semua,0,0,0,1,0,1,-,-,-,negatif,-,negatif
ini sebenarnya recomended seller tapi sayang gak cepat respon. dan sering walaupun dia online dia tidak mau membalas pesan. malah sering hanya dibaca saja. sangat disayangkan barang bagus tapi pelayanan kurang bagus. dan juga pakingnya kurang tebal padahal sudah saya ingatkan di catatan barang untuk diberi pengaman yang tebal. kondisi paket yang sampe banyak penyok. tetapi masih untung barangnya masi aman. sebaiknya catatan barang dari konsumen harus diperhatikan dan dilakukan. overall saya puas dengan baranya walaupun pelayanan perlu sangat banyak berbenah. trims,0,1,1,1,0,0,-,positif,negatif,negatif,-,-
Request warna gold yg datang black,1,0,0,0,0,0,negatif,-,-,-,-,-
Keren. Barang bagus. Mantap mas,0,1,0,0,0,0,-,positif,-,-,-,-
"Packing kurang rapi sih, tapi mantaplah buat harga seribu dapat 1pak pulpen...",0,0,0,1,1,0,-,-,-,negatif,positif,-
"Respon penjual cepat, barang sesuai deskripsi, mantap... ????????????????????????",1,1,1,0,0,0,positif,positif,positif,-,-,-
sesuai deskripsi,1,0,0,0,0,0,positif,-,-,-,-,-
packing rapi. tinggal uji coba uji coba semoga awet. garansi toko juga lama. makasih,0,0,0,1,0,0,-,-,-,positif,-,-
Setelah saya coba sehari ternyata asli 100% no KW super DLL. Saran utk yang melihat barang ini saya sarankan beli lah di Sini B market kualitas REAL ORIGINAL 100%,0,1,0,0,0,0,-,positif,-,-,-,-
"Baguus, Sesuai Pesanan, Terima Kasih",1,1,0,0,0,0,positif,positif,-,-,-,-
Barang sesuai dg deskripsi penjual. Waktu pengecasan lebih cepat krn charger original.,1,1,0,0,0,0,positif,positif,-,-,-,-
"Barang sudah saya terima sore ini, saya check bagus dan sesuai dengan pesanan",1,1,0,0,0,0,positif,positif,-,-,-,-
Packing jelek dus Jd penyok2 pesanan Ga sesuai padahal d komen bilang Ready trs ada yg pecah juga hadeuh nyesel deh order d sini kapok Tetapi akan lebih baik jika jujur aja la Kalo barang Ga Ready bilang gausa bilang ada uda respon lama yg mau order d sini pikir2 lagi dehh,1,1,1,1,0,0,negatif,negatif,negatif,negatif,-,-
"Barang yang dipesan sesuai pesanan, sesuai ukuran, waktu pengiriman yang cepat ke tempat pemesan.",1,0,0,0,0,1,positif,-,-,-,-,positif
chat langsung di balas dan ramah,0,0,1,0,0,0,-,-,positif,-,-,-
Fake banget. Cmn 2800mAh test pake accuBattery. Trl bnyk bohongan di Indonesia,0,1,0,0,0,0,-,negatif,-,-,-,-
Barang oke.. Cepat sampai dan baguus,0,1,0,0,0,1,-,positif,-,-,-,positif
Mantap lah sesuai pesenan...walau agak lama sampai nya,1,0,0,0,0,1,positif,-,-,-,-,negatif
kren bngt sesuai pesanan,1,1,0,0,0,0,positif,positif,-,-,-,-
Klo utk penjernih air utk mandi sdh oke banget,0,1,0,0,0,0,-,positif,-,-,-,-
"Kualitas kabel cukup baik, cepat untuk charge hp, meskipun bentuk tidak sesuai dengan gambar.",1,1,0,0,0,0,negatif,positif,-,-,-,-
"Pulpen sudah dikirim, tapi pengiriman tidak sesuai pilihan, saya pake J&t tapi dikirim pake secepat, trus ga ada di packing cuma alamat di tempel ke kardus pulpen.., apa karena flashsale ya, jadi asal-asalan, padahal nerima uangya full juga",1,0,0,0,0,1,negatif,-,-,-,-,negatif
"Barang Tidak Sesuai Pesanan. yg dipesan case Redmi 5plus, tapi yg dikirim case redmi Note 4X.Sungguh mengecewakan, gak sesuai.Padahal sudah ada catatan warna&jenis HP.",1,0,0,0,0,0,negatif,-,-,-,-,-
Suara lumayan ngebass agak seperti punya bawaan J5 .,0,1,0,0,0,0,-,positif,-,-,-,-
"Barang sesuai pesanan. Layanan dari penjual yg keren, responnya cepat banget. Mudah2an bisa dipertahankan layanan.",1,0,1,0,0,0,positif,-,positif,-,-,-
Meskipun pas dateng TG nya agak kotor2 pinggir2nya jd gak kepake..casingnya lumayan bagus sih..saya kasih bintang 5 aja deh buat casingnya..pengiriman jg cepet..kerjanya cepet..bravo!,0,1,1,0,0,1,-,negatif,positif,-,-,positif
Barang cepat sampai sesuai dengan harapan..,1,0,0,0,0,1,positif,-,-,-,-,positif
packing rapi . lapak nya recommended,0,0,0,1,0,0,-,-,-,positif,-,-
"barang sesuai, mudah mudahan awet, pengirimannya cepat, mantaaap",1,0,0,0,0,1,positif,-,-,-,-,positif
Sangat baik dan cocok Namun akan lebih baik apabila kiriman lebih cepat,0,1,0,0,0,1,-,positif,-,-,-,negatif
"Barang bagus sesuai pesanan, pengiriman standar. Cuman proses dari pengemasan dan respon pelapaknya yg lama, semoga lebih baik lg. Terima kasih",0,1,1,0,0,1,-,positif,negatif,-,-,positif
Packing kurang rapi,0,0,0,1,0,0,-,-,-,negatif,-,-
"Baterainya mulus, original sesuai yg ditawarkan. Siiiip dah ... best seller....",0,1,0,0,0,0,-,positif,-,-,-,-
paket bagus Namun akan lebih baik apabila decker juga di masukin dlm paket,1,0,0,1,0,0,negatif,-,-,positif,-,-
"barang sesuai pesanan, manatap",1,0,0,0,0,0,positif,-,-,-,-,-
simple dan akurat,1,1,0,0,0,0,positif,positif,-,-,-,-
bagus barang ya,0,1,0,0,0,0,-,positif,-,-,-,-
"Pengiriman lama, packing kurang rapi..",0,0,0,1,0,1,-,-,-,negatif,-,negatif
Barang sesuai pesanan packing rapi,1,0,0,1,0,0,positif,-,-,positif,-,-
barang tidak sesuai dengan pesanan untuk usbnya tidak ada,1,0,0,0,0,0,negatif,-,-,-,-,-
"Barang tidak sesuai gambar,beda tapi lancar normal,di gambar mewah tapi dateng casing terbuat dari palstik dan bawah nya pun putih bukan hitam,kecewa",1,1,0,0,0,0,negatif,negatif,-,-,-,-
"Barang sudah sampai. Makasih gan, cepet banget responnya",0,0,1,0,0,0,-,-,positif,-,-,-
"Respon baik cepet , bagus rapih cepet sampai",0,0,1,1,0,1,-,-,positif,positif,-,positif
kualitas bagus,0,1,0,0,0,0,-,positif,-,-,-,-
Mohon ya sebagai pelapak kalau mau pengiriman harus sesuai dengan keinginan pembeli,1,0,0,0,0,0,negatif,-,-,-,-,-
Barang sesuai apa yg kita pesan dan packing good,1,0,0,1,0,0,positif,-,-,positif,-,-
"Pelayanan ok, barang juga ok. Ini baru dicoba, dicharge jalan. Semoga awet dan tahan lama.",0,1,1,0,0,0,-,positif,positif,-,-,-
Ada sedikit perbedaan tulisan dengan bawaan.. Tapi so fat so good... Mudah2an awet,1,1,0,0,0,0,negatif,positif,-,-,-,-
kualitas kurang kenceng suaranya,0,1,0,0,0,0,-,negatif,-,-,-,-
"Barang sdh sampai, packing rapih, recomend saler",0,0,0,1,0,0,-,-,-,positif,-,-
"Barang dh sampe.. pesan jm 11 siang nyampe jam 1 siang.. sesuai pesanan, packing rapih recomended seller.. thank ka",0,0,0,1,0,1,-,-,-,positif,-,positif
"Respon chat cepat, pengiriman barang sesuai pesanan. Mudah-mudahan barang awet dan garansi mudah di klaim.",1,0,1,0,0,0,positif,-,positif,-,-,-
"Dengan harga segitu, worth it lah Barang sama dengan gambar lapak",1,0,0,0,1,0,positif,-,-,-,positif,-
"Barang bagus, respon cepat, dan barang bisa langsung digunakan. Pokoknya oke. Mudah mudahan garansinya beneran.",0,1,1,0,0,0,-,positif,positif,-,-,-
"Terima kasih, barang sesuai pesanan. Recommended Seller :)",1,0,0,0,0,0,positif,-,-,-,-,-
Sesuai bagus keren pas dipakainya,1,1,0,0,0,0,positif,positif,-,-,-,-
Barang ok. Hanya saja warna tidak dikirim seusuai keinginan pelanggan! Tolong utamakan kejujuran gan!,1,1,1,0,0,0,negatif,positif,negatif,-,-,-
"Barang cepat dikirim, respon penjual sangat cepat barang belum dicoba tapi semoga sesuai dengan harapan terimakasih!",0,0,1,0,0,1,-,-,positif,-,-,positif
"barang diterima dengan baik, dan sesuai pesanan",1,0,0,0,0,0,positif,-,-,-,-,-
"Packing baik, respon cepat. Mantap.",0,1,1,1,0,0,-,positif,positif,positif,-,-
sesuai pesanan,1,0,0,0,0,0,positif,-,-,-,-,-
"Tidak sesuai gambar, masak cuma di kirim cassing nya doang, sangat mengecewakan",1,0,0,0,0,0,negatif,-,-,-,-,-
"barang lumanyan bagus untuk yg suka hp yg unik2 tapi harga murah, 3 sim dan bisa power bank d",0,1,0,0,1,0,-,positif,-,-,positif,-
"Baru juga kemaren pesen besok nya udah dateng lagi, mantap , headset nya juga mantap dengan harga segitu,,",0,1,0,0,1,1,-,positif,-,-,positif,positif
Packingnya bagus. Produk ori banget,0,1,0,0,1,0,-,positif,-,-,positif,-
"Dalam sticker teknis, tidak ada tulisan Heavy Duty Mini Air Compressor, sesuai contoh spect dg warna merah.",1,0,0,0,0,0,negatif,-,-,-,-,-
"Dapat di Flash Sale, Alhamdulillah Barang Memuaskan.",0,1,0,0,1,0,-,positif,-,-,positif,-
packing sangat baik sesuai dengan yang di pesan Fast respond ...recommend seller,1,0,1,1,0,0,positif,-,positif,positif,-,-
Sudah dicoba pakai. Seperti headset samsung bawaan hp S6. Baguslah suaranya. Tombol2 berfungsi layaknya headset bawaan.,0,1,0,0,0,0,-,positif,-,-,-,-
"Barang sesuai pesanan, semoga awet",1,0,0,0,0,0,positif,-,-,-,-,-
"Respon lapak cepat dan ramah, batre lebih kecil dari aslinya jadi ada sela muat dimasukin isi bolpoint. pelapak bersedia mengganti barang/uang tp karena saya tdk cukup waktu untuk mengurus akhirnya saya pasang aja apa adanya. mudah2an awet.",1,1,1,0,0,0,negatif,negatif,positif,-,-,-
"Lumayan lah,bagus,harga terjangkau",0,1,0,0,1,0,-,positif,-,-,positif,-
Lama respon n pengiriman nya. Banyak lah,0,0,1,0,0,1,-,-,negatif,-,-,negatif
barang tidak sesuai deksripsi dengan pesanan. mohon untuk bisa ditukar..,1,0,0,0,0,0,negatif,-,-,-,-,-
Lubang kamera dan sensor cahaya tidak sesuai pada TG dengan di HP Z3+. Yang diterima tidak sama dengan digambar.,1,0,0,0,0,0,negatif,-,-,-,-,-
Barang bgus. Sesusi dengan pesanan dan respon chat bsik sekali. Salsm,1,1,1,0,0,0,positif,positif,positif,-,-,-
bossku sementara bintang 4 dulu ya barang original,0,1,0,0,0,0,-,positif,-,-,-,-
"kirimnya lama, respon seller jelek. kualitas buruk, speaker plastik, suara kecil. NOT Recomended seller. produk jelek",0,1,1,0,0,1,-,negatif,negatif,-,-,negatif
"Barang diterima dengan sangat baik, pengiriman cepat, packing juga aman, dan yg terpenting barang Ori dan kualitasnya mantap. Trims",0,1,0,1,0,1,-,positif,-,positif,-,positif
"Brg ya bagus sesuai gambar n harga, moga awet ...tq",1,1,0,0,0,0,positif,positif,-,-,-,-
"sukses selalu buat pelapak, barangx OK",0,1,0,0,0,0,-,positif,-,-,-,-
Barang bagus enak dipakai thanks gan,0,1,0,0,0,0,-,positif,-,-,-,-
Enak di pake dan kulit sensitif bakalan enk di tangan,0,1,0,0,0,0,-,positif,-,-,-,-
"Kardus mahal, jangan dibeli, saya juga nyesel",0,0,0,0,1,0,-,-,-,-,negatif,-
"Barang cpt sampai, respon chat cepat",0,0,1,0,0,1,-,-,positif,-,-,positif
Warna tidak sesuai pesanan warna sesuai order,1,0,0,0,0,0,negatif,-,-,-,-,-
"untuk harga barang segini tergolong mahal karena tidak sesuai dgn kualitas bahan terlalu tipis mudah robek, tidak layak disebut rompi lbh mirip pakaian (baju biasa).",0,1,0,0,1,0,-,negatif,-,-,negatif,-
"Pengiriman cepat smpai,sesuai pesanan",1,0,0,0,0,1,positif,-,-,-,-,positif
"Pengiriman cepat, packing baik, pokokek mantap tenan",0,0,0,1,0,1,-,-,-,positif,-,positif
Sampai nya lama bgt,0,0,0,0,0,1,-,-,-,-,-,negatif
"semuanya fast, mantappp pokoknya",0,1,0,0,0,1,-,positif,-,-,-,positif
"Barang sesuai ekspektasi, mudah2an awet",1,0,0,0,0,0,positif,-,-,-,-,-
Sampai Dengan Selamat. Packingannya Pun Super Aman,0,0,0,1,0,0,-,-,-,positif,-,-
"Bagus.. walaupun kecil, tp terang lampunya..",0,1,0,0,0,0,-,positif,-,-,-,-
Barang diterima sesuai dengan detil dan spesifikasi yang dijelaskan Kondisi barangnya bagus dan sesuai ekspektasi! Thanks!,1,0,0,0,0,0,positif,-,-,-,-,-
"KECEWA BELANJA DISINI, KATANYA ORIGINAL, TERNYATA BUKAN ORI. HATI2 BELANJA DISINI. DASAR PENIPU!!!!! MAKAN TUH DUIT",1,1,0,0,0,0,negatif,negatif,-,-,-,-
"harga mahal, pengiriman lama, pake no resi palsu sgala buat ngelabuin sistem bukalapak",0,0,1,0,1,1,-,-,negatif,-,negatif,negatif
kalau stok memang udah gak ada jgn di pajang dan ahirnya di krim brang lain,1,0,0,0,0,0,negatif,-,-,-,-,-
Packing baik ... made in vietnam kualitas bagus 5 stars !!!!,0,1,0,1,0,0,-,positif,-,positif,-,-
Kualitas bagus.. dipasang di laptop sesuai dan berjalan normal.. tapi pelapak nya slow respon banget,0,1,1,0,0,0,-,positif,negatif,-,-,-
Sampai barang nya cepat. Puas belanja di bukalapak.,0,0,0,0,0,1,-,-,-,-,-,positif
Charger berfungsi sesuai spesifikasi. Dan stiker garansinya juga msh ada. Good product.,0,1,0,0,0,0,-,positif,-,-,-,-
barang sesuai pesana,1,0,0,0,0,0,positif,-,-,-,-,-
"Packing baik,cuma lensanya agak buram",0,1,0,1,0,0,-,negatif,-,positif,-,-
"respon cpat, packing rapi, cpt sampai,, tp batrai tdk mau penuh,,,",0,1,1,1,0,1,-,negatif,positif,positif,-,positif
"Barang sesuai deskripsi & packing rapi, sedikit yg kurang yaitu tutup lensa tidak ada, akan tetapi sudah Aman ada tas pelindung, good seller",1,1,0,1,0,0,positif,positif,-,positif,-,-
Sesuai gambar..recommended...........,1,0,0,0,0,0,positif,-,-,-,-,-
sesuai dgn harganya kualitas awet,0,1,0,0,1,0,-,positif,-,-,positif,-
Tidak sesuai antara spek produk digambarnya dengan aslinya.,1,0,0,0,0,0,negatif,-,-,-,-,-
"packaging bagus, sejauh hari pertama ini kineja baterai masih mantap",0,1,0,1,0,0,-,positif,-,positif,-,-
"barang memang bagus oke, tp warna yg saya pesan tidak sesuai dengan warna brang yg dikirim pdhal di box pengiriman dan kwitansi dr JNE ada tulisan warna ""Grey"" tp di dalemnya malah warna Hitam dan pelapak tidak ada respon sama sekali, inbox hanya di read mohon lebih tanggung jawab",1,1,1,0,0,0,negatif,positif,negatif,-,-,-
barang sdh sampai sesuai pesanan cepat pengirimanya tks,1,0,0,0,0,1,positif,-,-,-,-,positif
Sesuai dengan pict,1,0,0,0,0,0,positif,-,-,-,-,-
saya order tgl 16 des barang di proses tgl 17 des dan barang mulai dikirim tgl 18 des. iya saya bilang lambat proses pengirimanya bukan lama di expedisinya. saya bilang kerjamu lambat. saya juga order pengiriman lewat J&T dan situ ngirimnya pakai sicepat. gk konsisten.,0,0,0,0,0,1,-,-,-,-,-,negatif
Barang bagus..,0,1,0,0,0,0,-,positif,-,-,-,-
"Barang bagus, udah nyampe. Puas tapi slow respons",0,1,1,0,0,0,-,positif,negatif,-,-,-
Barang tdk sesuai spt di gambar tapi good,1,1,0,0,0,0,negatif,positif,-,-,-,-
"Cepat samapai facking rapi ,terimakasih",0,0,0,1,0,1,-,-,-,positif,-,positif
"berfungsi dgn baik, suara jernih, tapi kurang nyaman di pakainya, overall ok.",0,1,0,0,0,0,-,positif,-,-,-,-
Barang cepat sampai dan langsung dicoba barang sesuai pesanan. Mantap tks,1,0,0,0,0,1,positif,-,-,-,-,positif
good good. barang sesuai,1,1,0,0,0,0,positif,positif,-,-,-,-
"produk : paket diterima lengkap, charger, baterai, senter (unit) kualitas : untuk harga kisaran low budget ya kualitas sesuai, cm bahan terkesan ringkih fungsi : baru sebatas tes nyala ato tidaknya Belum cek smpe ke terang ny lampu",1,1,0,0,0,0,positif,negatif,-,-,-,-
Fast respon & barang sesuai pesanan,1,0,1,0,0,0,positif,-,positif,-,-,-
"packing rapi, respon dan pengiriman cepat,",0,0,1,1,0,1,-,-,positif,positif,-,positif
Respon nya baik dan bersahabat,0,0,1,0,0,0,-,-,positif,-,-,-
barang sudah di terima..tapi payah ga sesuai dengan gambar dual OTG ..dan respon lambat.,1,0,1,0,0,0,negatif,-,negatif,-,-,-
barang nya bagus dan rapi,0,1,0,1,0,0,-,positif,-,positif,-,-
"murah, kuat, fitur sesuai harga. Namun, akan lebih baik apabila ada versi androidnya... seru!!",0,1,0,0,1,0,-,positif,-,-,positif,-
"harga murah,kualitas jelek fungsi kipasnya gak nyala kalau dilepas casannya,produk mrngecewakan",0,1,0,0,1,0,-,negatif,-,-,positif,-
"cat bezelnya kurang mulus,tidak sesuai gambar mohon diperbaiki lgi",1,0,0,0,0,0,negatif,-,-,-,-,-
Barang sesuai pesanan & cepat sampai,1,0,0,0,0,1,positif,-,-,-,-,positif
"Bagus, sesuai pesanan, dpt bonus juga",1,1,0,0,0,0,positif,positif,-,-,-,-
"Mantap produk sesuai deskripsi, packing aman, pengiriman cepat, terimakasih",1,0,0,1,0,1,positif,-,-,positif,-,positif
Pengiriman cepat sampai,0,0,0,0,0,1,-,-,-,-,-,positif
sesuai .. Namun akan lebih baik apabila jahitan benang sesuai warna,1,0,0,0,0,0,negatif,-,-,-,-,-
Barang sudah sampai dan sesuai gambar. semoga awet,1,0,0,0,0,0,positif,-,-,-,-,-
